"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,TRUE,TRUE,1,1,0.079206,0.055484,0.104287,0.765997
"lemmatization",TRUE,TRUE,TRUE,1,1,-0.002061,-0.032092,0.030652,0.548703
"stemming",TRUE,TRUE,TRUE,1,1,0.109304,0.081852,0.145369,0.643665
"none",FALSE,TRUE,TRUE,1,1,0.054629,0.032898,0.077425,0.776572
"lemmatization",FALSE,TRUE,TRUE,1,1,0.060586,0.023775,0.092941,0.731572
"stemming",FALSE,TRUE,TRUE,1,1,0.096395,0.07386,0.122737,0.754688
"none",TRUE,FALSE,TRUE,1,1,0.035494,0.018654,0.054395,0.79174
"lemmatization",TRUE,FALSE,TRUE,1,1,0.031137,0.001416,0.059205,0.779553
"stemming",TRUE,FALSE,TRUE,1,1,0.058455,0.041178,0.083216,0.792452
"none",FALSE,FALSE,TRUE,1,1,0.042642,0.025317,0.064048,0.813179
"lemmatization",FALSE,FALSE,TRUE,1,1,0.046736,0.029642,0.066894,0.804671
"stemming",FALSE,FALSE,TRUE,1,1,0.038942,0.018523,0.059076,0.819306
"none",TRUE,TRUE,FALSE,1,1,0.025988,0.02036,0.031485,0.735537
"lemmatization",TRUE,TRUE,FALSE,1,1,0.011899,0.008287,0.015404,0.350113
"stemming",TRUE,TRUE,FALSE,1,1,0.032973,0.024784,0.041192,1
"none",FALSE,TRUE,FALSE,1,1,0.023114,0.012866,0.033175,0.851486
"lemmatization",FALSE,TRUE,FALSE,1,1,0.019858,0.009846,0.030311,0.846682
"stemming",FALSE,TRUE,FALSE,1,1,0.019984,0.010427,0.029171,0.873979
"none",TRUE,FALSE,FALSE,1,1,0.005572,-0.0025,0.013184,0.574711
"lemmatization",TRUE,FALSE,FALSE,1,1,0.035118,0.027087,0.043691,0.688521
"stemming",TRUE,FALSE,FALSE,1,1,0.031269,0.022611,0.039998,0.784368
"none",FALSE,FALSE,FALSE,1,1,0.015561,0.005092,0.025528,0.813232
"lemmatization",FALSE,FALSE,FALSE,1,1,0.011009,0.0028,0.018867,0.712126
"stemming",FALSE,FALSE,FALSE,1,1,0.022441,0.013337,0.03159,0.857398
"none",TRUE,TRUE,TRUE,2,1,0.042917,0.022381,0.064449,0.815574
"lemmatization",TRUE,TRUE,TRUE,2,1,0.042495,0.020526,0.068023,0.808499
"stemming",TRUE,TRUE,TRUE,2,1,-0.023057,-0.056617,0.01024,0.581138
"none",FALSE,TRUE,TRUE,2,1,0.092144,0.056006,0.130669,0.596937
"lemmatization",FALSE,TRUE,TRUE,2,1,0.077841,0.055757,0.103767,0.758605
"stemming",FALSE,TRUE,TRUE,2,1,0.030845,0.0025,0.054573,0.835427
"none",TRUE,FALSE,TRUE,2,1,0.0283,0.011139,0.049558,0.782921
"lemmatization",TRUE,FALSE,TRUE,2,1,0.058082,0.038319,0.081074,0.758716
"stemming",TRUE,FALSE,TRUE,2,1,0.038901,0.021443,0.059395,0.803678
"none",FALSE,FALSE,TRUE,2,1,0.038826,0.023751,0.057839,0.786464
"lemmatization",FALSE,FALSE,TRUE,2,1,0.039352,0.02189,0.061525,0.802563
"stemming",FALSE,FALSE,TRUE,2,1,0.037283,0.021616,0.058328,0.804383
"none",TRUE,TRUE,FALSE,2,1,0.003218,-0.003663,0.01038,0.800261
"lemmatization",TRUE,TRUE,FALSE,2,1,0.006936,0.002919,0.010776,0.147689
"stemming",TRUE,TRUE,FALSE,2,1,0.029631,0.020916,0.038436,0.903047
"none",FALSE,TRUE,FALSE,2,1,0.021476,0.012154,0.031562,0.860699
"lemmatization",FALSE,TRUE,FALSE,2,1,0.021259,0.011472,0.031269,0.838338
"stemming",FALSE,TRUE,FALSE,2,1,0.015057,0.010908,0.018925,0.714322
"none",TRUE,FALSE,FALSE,2,1,0.017755,0.009939,0.025561,0.542025
"lemmatization",TRUE,FALSE,FALSE,2,1,0.033626,0.026092,0.041216,0.501548
"stemming",TRUE,FALSE,FALSE,2,1,0.018639,0.009181,0.028081,0.832291
"none",FALSE,FALSE,FALSE,2,1,0.015411,0.005599,0.025571,0.798812
"lemmatization",FALSE,FALSE,FALSE,2,1,0.007662,0.000247,0.015635,0.585758
"stemming",FALSE,FALSE,FALSE,2,1,0.019945,0.008585,0.030815,0.830812
"none",TRUE,TRUE,TRUE,3,1,0.108124,0.061041,0.145277,0.546703
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.000226,-0.027774,0.029466,0.597705
"stemming",TRUE,TRUE,TRUE,3,1,0.039462,0.00229,0.071214,0.773548
"none",FALSE,TRUE,TRUE,3,1,0.050264,0.024998,0.071236,0.806204
"lemmatization",FALSE,TRUE,TRUE,3,1,0.020794,-0.003902,0.047744,0.68123
"stemming",FALSE,TRUE,TRUE,3,1,0.052936,0.022986,0.075671,0.791483
"none",TRUE,FALSE,TRUE,3,1,0.044259,0.026609,0.067066,0.810486
"lemmatization",TRUE,FALSE,TRUE,3,1,0.051404,0.033984,0.07334,0.806325
"stemming",TRUE,FALSE,TRUE,3,1,0.051045,0.032086,0.072341,0.790798
"none",FALSE,FALSE,TRUE,3,1,0.047694,0.030362,0.067537,0.800586
"lemmatization",FALSE,FALSE,TRUE,3,1,0.052558,0.032807,0.074594,0.797661
"stemming",FALSE,FALSE,TRUE,3,1,-0.01006,-0.040454,0.02113,0.622953
"none",TRUE,TRUE,FALSE,3,1,0.018067,0.010422,0.024736,0.791068
"lemmatization",TRUE,TRUE,FALSE,3,1,0.006942,0.002162,0.011627,0.452493
"stemming",TRUE,TRUE,FALSE,3,1,0.022141,0.014998,0.029211,0.849703
"none",FALSE,TRUE,FALSE,3,1,0.018863,0.008183,0.029387,0.854804
"lemmatization",FALSE,TRUE,FALSE,3,1,0.010133,0.005379,0.014633,0.785256
"stemming",FALSE,TRUE,FALSE,3,1,0.021042,0.010994,0.030947,0.888096
"none",TRUE,FALSE,FALSE,3,1,0.00857,0.002135,0.015308,0.423501
"lemmatization",TRUE,FALSE,FALSE,3,1,-0.001763,-0.008862,0.005474,0.628623
"stemming",TRUE,FALSE,FALSE,3,1,0.025259,0.01852,0.033063,0.67516
"none",FALSE,FALSE,FALSE,3,1,0.033143,0.024515,0.041991,0.826653
"lemmatization",FALSE,FALSE,FALSE,3,1,0.008858,2.9e-05,0.017753,0.77391
"stemming",FALSE,FALSE,FALSE,3,1,0.021961,0.014137,0.029876,0.829143
"none",TRUE,TRUE,TRUE,1,2,0.012022,-0.017076,0.038558,0.772926
"lemmatization",TRUE,TRUE,TRUE,1,2,0.008216,-0.024887,0.040946,0.669756
"stemming",TRUE,TRUE,TRUE,1,2,0.058561,0.02028,0.089247,0.65906
"none",FALSE,TRUE,TRUE,1,2,0.018141,-0.013304,0.046304,0.660054
"lemmatization",FALSE,TRUE,TRUE,1,2,0.042029,0.021275,0.062686,0.816599
"stemming",FALSE,TRUE,TRUE,1,2,0.114365,0.066866,0.155342,0.625273
"none",TRUE,FALSE,TRUE,1,2,0.038313,0.015719,0.060096,0.784051
"lemmatization",TRUE,FALSE,TRUE,1,2,0.04187,0.024444,0.063641,0.7997
"stemming",TRUE,FALSE,TRUE,1,2,0.040702,0.022487,0.06084,0.810409
"none",FALSE,FALSE,TRUE,1,2,0.043502,0.024592,0.066541,0.809696
"lemmatization",FALSE,FALSE,TRUE,1,2,0.044021,0.024812,0.065519,0.800384
"stemming",FALSE,FALSE,TRUE,1,2,0.03922,0.021951,0.061141,0.812226
"none",TRUE,TRUE,FALSE,1,2,-0.001245,-0.005012,0.002773,0.102381
"lemmatization",TRUE,TRUE,FALSE,1,2,0.020677,0.015754,0.025383,0.423551
"stemming",TRUE,TRUE,FALSE,1,2,0.023237,0.016601,0.030038,0.887178
"none",FALSE,TRUE,FALSE,1,2,0.013756,0.007271,0.019814,0.788859
"lemmatization",FALSE,TRUE,FALSE,1,2,0.021858,0.012342,0.031201,0.850975
"stemming",FALSE,TRUE,FALSE,1,2,0.025284,0.016305,0.034591,0.892225
"none",TRUE,FALSE,FALSE,1,2,-0.001643,-0.008747,0.005919,0.424948
"lemmatization",TRUE,FALSE,FALSE,1,2,0.0205,0.012321,0.028755,0.708597
